Subject,Trial,LeftPattern,RightPattern,Response,RT
0002,1,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,1,2.1615
0002,2,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0002,3,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,1,0.0145
0002,4,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0002,5,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,1,0.7725
0002,6,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,1,1.5418
0002,7,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0002,8,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0002,9,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0002,10,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0002,11,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0002,12,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0002,13,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0002,14,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0002,15,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0002,16,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0002,17,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0002,18,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0002,19,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0002,20,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0002,21,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0002,22,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0002,23,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0002,24,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0002,25,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0002,26,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0002,27,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0002,28,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,3,3.7090
0002,29,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,1,0.0921
0002,30,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,3,0.0952
