Subject,Trial,LeftPattern,RightPattern,Response,RT
Subject,Trial,LeftPattern,RightPattern,Response,RT
0001,1,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0001,2,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,1,0.7882
0001,3,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,1,0.5342
Subject,Trial,LeftPattern,RightPattern,Response,RT
0001,1,linear_constant-0.8-0.72,linear_constant-0.8-0,NA,NA
0001,2,linear_constant-0.8-0.64,linear_constant-0.8-0,NA,NA
0001,3,linear_constant-0.8-0.48,linear_constant-0.8-0,NA,NA
Subject,Trial,LeftPattern,RightPattern,Response,RT
0001,1,linear_constant-0.8-0.72,linear_constant-0.8-0,NA,NA
0001,2,linear_constant-0.8-0.64,linear_constant-0.8-0,NA,NA
0001,3,linear_constant-0.8-0.48,linear_constant-0.8-0,NA,NA
Subject,Trial,LeftPattern,RightPattern,Response,RT
0001,1,linear_constant-0.8-0.72,linear_constant-0.8-0,NA,NA
0001,2,linear_constant-0.8-0.64,linear_constant-0.8-0,NA,NA
0001,3,linear_constant-0.8-0.48,linear_constant-0.8-0,NA,NA
Subject,Trial,LeftPattern,RightPattern,Response,RT
0001,1,radial_constant-0.8-0.72,radial_constant-0.8-0,NA,NA
0001,2,radial_constant-0.8-0.64,radial_constant-0.8-0,NA,NA
0001,3,radial_constant-0.8-0.48,radial_constant-0.8-0,1,12.5394
Subject,Trial,LeftPattern,RightPattern,Response,RT
Subject,Trial,LeftPattern,RightPattern,Response,RT
0001,1,linear_constant-0.8-0.72,linear_constant-0.8-0,NA,NA
0001,2,linear_constant-0.8-0.64,linear_constant-0.8-0,1,1.8255
0001,3,linear_constant-0.8-0.48,linear_constant-0.8-0,1,0.3573
